"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 25 10:05:01 IST 2026","Fri Sep 25 10:05:03 IST 2026","2225","tests","test_source_raw","","","","test_source_raw_count_matches",""
"passed","Fri Sep 25 10:04:39 IST 2026","Fri Sep 25 10:04:46 IST 2026","7327","tests","test_raw_operational","","","","test_cdc_incremental_load_filters_latest_rows",""
"passed","Fri Sep 25 10:04:32 IST 2026","Fri Sep 25 10:04:33 IST 2026","1625","tests","test_raw_operational","","","","test_advanced_real_time_transformations",""
"passed","Fri Sep 25 10:04:33 IST 2026","Fri Sep 25 10:04:36 IST 2026","2802","tests","test_raw_operational","","","","test_production_style_transformations",""
"passed","Fri Sep 25 10:04:21 IST 2026","Fri Sep 25 10:04:26 IST 2026","5329","tests","test_operational_curated","","","","test_curated_total_amount_matches_operational",""
"passed","Fri Sep 25 10:04:52 IST 2026","Fri Sep 25 10:04:57 IST 2026","5186","tests","test_raw_operational","","","","test_fact_dimension_reconciliation",""
"passed","Fri Sep 25 10:04:28 IST 2026","Fri Sep 25 10:04:32 IST 2026","3199","tests","test_raw_operational","","","","test_full_name_and_status_transformation",""
"passed","Fri Sep 25 10:04:57 IST 2026","Fri Sep 25 10:05:00 IST 2026","2640","tests","test_raw_operational","","","","test_order_transformations",""
"passed","Fri Sep 25 10:04:37 IST 2026","Fri Sep 25 10:04:39 IST 2026","1334","tests","test_raw_operational","","","","test_status_values_are_standardized",""
"passed","Fri Sep 25 10:05:03 IST 2026","Fri Sep 25 10:05:03 IST 2026","0","tests","test_source_raw","","","","test_raw_mandatory_columns_present",""
"passed","Fri Sep 25 10:04:46 IST 2026","Fri Sep 25 10:04:52 IST 2026","6078","tests","test_raw_operational","","","","test_scd_type_2_history_generation",""
"passed","Fri Sep 25 10:05:03 IST 2026","Fri Sep 25 10:05:05 IST 2026","1358","tests","test_source_raw","","","","test_raw_no_duplicate_primary_keys",""
"passed","Fri Sep 25 10:05:00 IST 2026","Fri Sep 25 10:05:01 IST 2026","1150","tests","test_source_raw","","","","test_source_not_empty",""
"passed","Fri Sep 25 10:05:05 IST 2026","Fri Sep 25 10:05:10 IST 2026","4841","tests","test_source_raw","","","","test_source_raw_key_reconciliation",""
"passed","Fri Sep 25 10:04:36 IST 2026","Fri Sep 25 10:04:37 IST 2026","1217","tests","test_raw_operational","","","","test_active_flag_for_business_rules",""
"passed","Fri Sep 25 10:04:26 IST 2026","Fri Sep 25 10:04:28 IST 2026","1699","tests","test_operational_curated","","","","test_customer_tier_logic",""
